".","Freq"
"account",12822
"bank",10282
"service",7823
"app",7666
"card",7398
"money",6585
"customer",5365
"time",3170
"day",3152
"banking",2652
"support",2348
"rate",2282
"problem",2173
"transaction",2019
"experience",1898
"issue",1887
"payment",1867
"way",1830
"month",1577
"phone",1520
"thing",1515
"feature",1410
"business",1373
"year",1367
"company",1363
"week",1187
"interest",1166
"people",1160
"fee",1081
"friend",1055
"transfer",1020
"email",995
"lot",972
"debit",952
"process",934
"cash",897
"notification",888
"response",815
"spending",813
"savings",808
"review",804
"team",801
"currency",797
"user",788
"fund",775
"charge",735
"exchange",722
"reason",712
"star",709
"thanks",699
"option",698
"number",696
"credit",687
"application",678
"bannks",676
"minute",666
"help",662
"hour",656
"street",646
"information",642
"security",607
"question",605
"one",584
"staff",569
"work",545
"message",532
"code",526
"system",512
"access",511
"balance",511
"product",507
"country",493
"amount",485
"future",482
"fact",473
"life",471
"bit",470
"use",470
"Monese",462
"answer",421
"detail",421
"holiday",414
"family",391
"call",381
"update",377
"reply",376
"bill",370
"monzo",370
"complaint",364
"pot",364
"agent",362
"guy",347
"atm",344
"idea",343
"cost",338
"control",336
"date",335
"world",331
"person",328
"couple",321
"communication",318
"address",316
"case",312
"spend",311
"track",309
"statement",304
"point",303
"ease",297
"end",295
"today",295
"revolut",292
"id",287
"need",286
"space",283
"deposit",281
"place",281
"line",280
"post",279
"term",275
"finances",274
"other",274
"office",273
"purchase",273
"verification",271
"N26",270
"solution",269
"document",268
"contact",267
"change",266
"travel",264
"website",262
"ability",261
"overdraft",260
"monese",259
"euro",258
"job",255
"part",254
"moment",252
"starling",251
"top",250
"order",247
"withdrawal",244
"delivery",237
"query",236
"cheque",233
"interface",231
"accounts",229
"fe",224
"up",223
"limit",222
"name",222
"hassle",220
"goal",213
"client",212
"request",211
"situation",211
"switch",209
"text",204
"facility",203
"member",202
